spearman,pMAE,pRMSE,ocvRMSE,RMSEutrans,MAEutrans,date,algomodel,trgCol,transTarg,task,missing,append,transform,pc,expirament,fold,maxfold,seed,seedit,foldseed,RMSEmean,RMSEmeantrain,hpGen,time,validmethod,tuneLength,cvcount,ignrepeats,adaptivemin,bestTuneparams,btp1,btp2,btp3,btp4,btp5,btp6,btp7,btp8,btp9,btp10,btp11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.201,0.147,0.105,1.11,1.29,1.05,Wed Mar 27 00:12:55 2019,gbm,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,575,222,1.443,1.091,random,160,cv,10,10,NA,5,,,,,,,,,,0,5,2.68,18,3.28,21,3.8,29,3.7,31,2.24,54,3.16,69,2.88,90,4.71,94,2.14,111,2.88,115,4.7,117,2.8,128,3.9
Fail,Fail,Fail,Fail,Fail,Fail,Wed Mar 27 00:14:36 2019,gbm_h2o,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,1,222,101
0.081,0.075,-0.013,-1,1.46,1.14,Wed Mar 27 00:14:39 2019,gcvEarth,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,3,cv,10,10,NA,5,,,,,,,,,,0,5,2.26,18,4.54,21,3.64,29,1.93,31,1.47,54,3.33,69,4.32,90,3.22,94,2.97,111,2.63,115,4.14,117,2.39,128,3.57
-0.225,-4.511,-5.816,-1,9.83,6.78,Wed Mar 27 00:14:43 2019,glm,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,1,cv,10,10,NA,5,,,,,,,,,,0,5,4.65,18,-18,21,11.7,29,-17.5,31,-3.16,54,10.2,69,-1.32,90,3.58,94,1.57,111,5.71,115,5.68,117,1.77,128,5.2
-0.189,-4.429,-5.636,52.4,9.57,6.68,Wed Mar 27 00:14:49 2019,glm.nb,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,5,cv,10,10,NA,5,,,,,,,,,,0,5,5.09,18,-17.2,21,11.8,29,-16.8,31,-2.94,54,10.1,69,-1.45,90,3.48,94,1.62,111,5.56,115,5.62,117,1.78,128,5.22
0.199,0.108,0.128,1.05,1.26,1.1,Wed Mar 27 00:14:55 2019,glmboost,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,6,cv,10,10,NA,5,,,,,,,,,,0,5,2.52,18,4.36,21,3.45,29,3.75,31,2.92,54,3.36,69,3.19,90,3.54,94,3.14,111,3.27,115,3.64,117,3.26,128,3.57
0.212,0.1,0.127,1.05,1.26,1.11,Wed Mar 27 00:15:30 2019,glmnet,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,32,cv,10,10,NA,5,,,,,,,,,,0,5,2.56,18,4.31,21,3.41,29,3.71,31,2.97,54,3.38,69,3.22,90,3.54,94,3.17,111,3.25,115,3.63,117,3.28,128,3.56
Fail,Fail,Fail,Fail,Fail,Fail,Wed Mar 27 00:17:13 2019,glmnet_h2o,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,1,222,101
-0.189,-4.834,-6.406,-1,10.7,7.18,Wed Mar 27 00:17:54 2019,glmStepAIC,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,41,cv,10,10,NA,5,,,,,,,,,,0,5,4.23,18,-20.4,21,12,29,-19.7,31,-3.07,54,10.4,69,-1.77,90,3.62,94,1.56,111,5.76,115,5.87,117,1.8,128,5.12
0.225,0.165,0.142,1.22,1.24,1.03,Wed Mar 27 00:18:41 2019,icr,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,546,222,1.443,1.091,random,46,cv,10,10,NA,5,,,,,,,,,,0,5,1.95,18,4.59,21,4.57,29,3.74,31,2.5,54,3.37,69,3.06,90,3.52,94,2.89,111,3.24,115,3.83,117,3.09,128,3.47
0.206,0.156,0.167,1.06,1.2,1.04,Wed Mar 27 00:18:51 2019,kernelpls,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,2,cv,10,10,NA,5,,,,,,,,,,0,5,1.89,18,4.4,21,4.31,29,3.33,31,2.86,54,3.5,69,3.34,90,3.46,94,2.96,111,3.13,115,3.68,117,3.29,128,3.51
-0.003,-0.012,-0.03,1.04,1.49,1.25,Wed Mar 27 00:19:21 2019,kknn,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,28,cv,10,10,NA,5,,,,,,,,,,0,5,3.25,18,3.57,21,3.87,29,3.19,31,2.82,54,3.92,69,3.6,90,3.73,94,2.77,111,3.91,115,3.57,117,2.65,128,4.03
